,Country,League,Club Name,Jersey Number,National,Name,Age,Matched Played,Goals,Yellow Cards,Red Card
0,Canada,Canadian Premier League,Cavalry,1,Canada,Carducci Marco,23,25,0,1,0
1,Canada,Canadian Premier League,Cavalry,22,Canada,Giantsopoulos Nikolas,25,5,0,0,0
2,Canada,Canadian Premier League,Cavalry,30,Canada,Santiago Jordan,28,0,0,0,0
3,Canada,Canadian Premier League,Cavalry,3,England,Mavila Nathan,24,25,0,4,1
4,Canada,Canadian Premier League,Cavalry,12,Canada,Northover Dean,?,8,0,2,1
5,Canada,Canadian Premier League,Cavalry,5,Canada,Trafford Mason,32,22,0,2,0
6,Canada,Canadian Premier League,Cavalry,14,England,Wheeldon Jay,30,18,0,6,0
7,Canada,Canadian Premier League,Cavalry,4,Canada,Zator Dominick,25,29,1,0,0
8,Canada,Canadian Premier League,Cavalry,16,England,Adekugbe Elijah,?,19,1,6,0
9,Canada,Canadian Premier League,Cavalry,8,Germany,Buscher Julian,26,25,5,5,0
10,Canada,Canadian Premier League,Cavalry,10,Canada,Camargo Sergio,25,20,6,1,0
11,Canada,Canadian Premier League,Cavalry,11,Honduras,Escalante Rapalo Jose Alberto,24,24,4,3,1
12,Canada,Canadian Premier League,Cavalry,18,Canada,Eustaquio Mauro,26,10,0,2,1
13,Canada,Canadian Premier League,Cavalry,21,Canada,Hamilton Malyk,20,18,0,1,0
14,Canada,Canadian Premier League,Cavalry,6,Canada,Ledgerwood Nicolas,34,20,3,4,0
15,Canada,Canadian Premier League,Cavalry,17,Canada,Pasquotti Nico,?,25,5,6,0
16,Canada,Canadian Premier League,Cavalry,20,Colombia,Patino Carlos,24,11,0,0,0
17,Canada,Canadian Premier League,Cavalry,15,USA,Waterman Joel,23,22,1,4,1
18,Canada,Canadian Premier League,Cavalry,19,Canada,Bitar Gabriel,21,1,0,0,0
19,Canada,Canadian Premier League,Cavalry,9,England,Brown Jordan,23,25,4,2,0
20,Canada,Canadian Premier League,Cavalry,25,Canada,Fakunle Oluwatofarati,24,2,0,0,0
21,Canada,Canadian Premier League,Cavalry,13,Canada,Loturi Victor,18,2,0,1,0
22,Canada,Canadian Premier League,Cavalry,23,Republic of the Congo,Malonga Dominique,30,26,11,1,0
23,Canada,Canadian Premier League,Cavalry,7,Brazil,Oliver Oliver,27,24,7,4,0
0,Canada,Canadian Premier League,Forge,1,Canada,Henry Triston,?,22,0,3,0
1,Canada,Canadian Premier League,Forge,31,Canada,Iacobellis Luke,?,0,0,0,0
2,Canada,Canadian Premier League,Forge,15,Canada,Oyegunle Oluwaseun,17,1,0,0,0
3,Canada,Canadian Premier League,Forge,18,Guyana,Roberts Quillan,25,8,0,0,0
4,Canada,Canadian Premier League,Forge,16,Canada,Cela Klaidi,20,8,1,0,0
5,Canada,Canadian Premier League,Forge,3,Senegal,Cisse Elimane,24,23,2,0,0
6,Canada,Canadian Premier League,Forge,30,Canada,Edgar David,32,11,1,1,0
7,Canada,Canadian Premier League,Forge,2,Canada,Grant Jonathan,?,13,1,2,0
8,Canada,Canadian Premier League,Forge,5,Netherlands,Krutzen Daniel,23,28,1,0,0
9,Canada,Canadian Premier League,Forge,22,Canada,Mohsen Monti,19,9,1,2,0
10,Canada,Canadian Premier League,Forge,21,Cameroon,Owundi Bertrand,26,22,0,4,0
11,Canada,Canadian Premier League,Forge,4,Canada,Samuel Dominic,25,26,0,7,1
12,Canada,Canadian Premier League,Forge,6,Canada,Awuah Kwame,24,27,0,4,0
13,Canada,Canadian Premier League,Forge,10,Canada,Bekker Kyle,29,28,4,1,0
14,Canada,Canadian Premier League,Forge,19,Canada,Borges Tristan,21,27,13,3,1
15,Canada,Canadian Premier League,Forge,7,Canada,Choiniere David,22,17,2,1,0
16,Canada,Canadian Premier League,Forge,8,Canada,Frano Giuliano,26,26,1,6,0
17,Canada,Canadian Premier League,Forge,13,Sweden,Jonsson Alexander Borje,23,25,0,0,0
18,Canada,Canadian Premier League,Forge,12,Canada,Kotsopoulos Jace,22,3,2,0,0
19,Canada,Canadian Premier League,Forge,31,Canada,Maan B,?,0,0,0,0
20,Canada,Canadian Premier League,Forge,11,Canada,Nanco Christopher,24,26,4,1,0
21,Canada,Canadian Premier League,Forge,23,Canada,Novak Anthony,?,18,6,4,0
22,Canada,Canadian Premier League,Forge,20,Canada,Stoddart Justin,24,1,0,0,0
23,Canada,Canadian Premier League,Forge,17,Canada,Thomas Kadell,?,15,3,4,0
24,Canada,Canadian Premier League,Forge,9,Canada,Zajac Marcel,21,21,1,3,0
0,Canada,Canadian Premier League,Edmonton,31,Canada,Ezoua Chris,19,0,0,0,0
1,Canada,Canadian Premier League,Edmonton,1,Canada,James Connor,?,22,0,0,0
2,Canada,Canadian Premier League,Edmonton,13,Canada,Powley Dylon,23,6,0,0,0
3,Canada,Canadian Premier League,Edmonton,55,Canada,Didic Amer,24,19,0,3,0
4,Canada,Canadian Premier League,Edmonton,3,Cameroon,Esua Jeannot,23,21,0,2,1
5,Canada,Canadian Premier League,Edmonton,10,Canada,Joseph Philippe,25,11,0,0,1
6,Canada,Canadian Premier League,Edmonton,12,Trinidad and Tobago,Moses Kareem,29,15,0,2,0
7,Canada,Canadian Premier League,Edmonton,5,Spain,Soria Ramon,30,23,1,3,0
8,Canada,Canadian Premier League,Edmonton,8,Germany,Temguia Mele,24,27,2,3,0
9,Canada,Canadian Premier League,Edmonton,4,Canada,Zebie Allan,26,23,0,1,0
10,Canada,Canadian Premier League,Edmonton,16,Canada,Amanda Prince,?,2,1,0,0
11,Canada,Canadian Premier League,Edmonton,23,Canada,Khabra Ajay,?,24,0,0,0
12,Canada,Canadian Premier League,Edmonton,14,Haiti,Marcelin James,33,21,0,2,0
13,Canada,Canadian Premier League,Edmonton,6,Ghana,Mortotsi Edem,26,18,0,1,0
14,Canada,Canadian Premier League,Edmonton,22,USA,Tchani Tony,?,5,0,0,0
15,Canada,Canadian Premier League,Edmonton,20,Canada,Zebie Bruno,?,23,1,2,0
16,Canada,Canadian Premier League,Edmonton,18,England,Ameobi Oluwatomiwo,31,23,4,4,0
17,Canada,Canadian Premier League,Edmonton,45,Belgium,Diouck Oumar,25,26,6,6,0
18,Canada,Canadian Premier League,Edmonton,26,USA,Doe David,19,7,0,0,0
19,Canada,Canadian Premier League,Edmonton,11,Canada,Edwini-Bonsu Randy,29,12,0,1,0
20,Canada,Canadian Premier League,Edmonton,19,Canada,Ongaro Easton,21,21,10,1,0
21,Canada,Canadian Premier League,Edmonton,9,Canada,Sarkaria Ajeej Singh,24,10,0,1,0
22,Canada,Canadian Premier League,Edmonton,17,Canada,Tsegaye-Velado Marcus,?,16,1,1,0
0,Canada,Canadian Premier League,HFX Wanderers,50,Canada,Oxner Christian,?,18,0,2,0
1,Canada,Canadian Premier League,HFX Wanderers,21,Trinidad and Tobago,Williams Jan-Michael,35,12,0,1,1
2,Canada,Canadian Premier League,HFX Wanderers,23,Canada,Arnone Matthew,25,24,2,3,0
