,Country,League,Club Name,Jersey Number,National,Name,Age,Matched Played,Goals,Yellow Cards,Red Card
0,Costa Rica,Costa Rica,Alajuelense,23,Costa Rica,Alvarez Johnny,19,0,0,0,0
1,Costa Rica,Costa Rica,Alajuelense,1,Costa Rica,Pineda Solis Adonis,?,20,0,3,0
2,Costa Rica,Costa Rica,Alajuelense,18,Costa Rica,Vargas Mauricio,27,2,0,0,0
3,Costa Rica,Costa Rica,Alajuelense,2,Costa Rica,Alfaro Gonzalez Dario,22,1,0,0,0
4,Costa Rica,Costa Rica,Alajuelense,29,Costa Rica,Arce Karin,19,0,0,0,0
5,Costa Rica,Costa Rica,Alajuelense,15,Costa Rica,Diaz Junior,36,16,0,5,0
6,Costa Rica,Costa Rica,Alajuelense,3,Honduras,Figueroa Alonzo Henry Adalberto,26,11,0,6,1
7,Costa Rica,Costa Rica,Alajuelense,4,Costa Rica,Gutierrez Kenner,30,17,3,3,1
8,Costa Rica,Costa Rica,Alajuelense,14,Costa Rica,Meneses Christopher,29,14,1,3,0
9,Costa Rica,Costa Rica,Alajuelense,28,Costa Rica,Ordian Jhamir,26,14,1,2,0
10,Costa Rica,Costa Rica,Alajuelense,6,Costa Rica,Salvatierra Jose,30,4,0,0,0
11,Costa Rica,Costa Rica,Alajuelense,36,Argentina,Zabala Facundo,20,9,0,1,0
12,Costa Rica,Costa Rica,Alajuelense,37,Costa Rica,Abarca Josue,19,1,0,0,0
13,Costa Rica,Costa Rica,Alajuelense,26,Costa Rica,Alfaro Bernald,22,10,0,0,0
14,Costa Rica,Costa Rica,Alajuelense,17,Costa Rica,Arauz Ariel,?,0,0,0,0
15,Costa Rica,Costa Rica,Alajuelense,8,Costa Rica,Cubero Loria Jose Miguel,32,15,5,4,0
16,Costa Rica,Costa Rica,Alajuelense,16,Costa Rica,Guevara Allen,30,19,1,2,0
17,Costa Rica,Costa Rica,Alajuelense,10,Honduras,Lopez Alexander,27,17,2,2,0
18,Costa Rica,Costa Rica,Alajuelense,7,Costa Rica,Lopez Anthony,23,19,3,3,0
19,Costa Rica,Costa Rica,Alajuelense,37,Costa Rica,Mata Esteban,19,0,0,0,0
20,Costa Rica,Costa Rica,Alajuelense,32,Costa Rica,Morales Elian,19,0,0,0,0
21,Costa Rica,Costa Rica,Alajuelense,29,Costa Rica,Santamaria Paulo,18,0,0,0,0
22,Costa Rica,Costa Rica,Alajuelense,25,Costa Rica,Sequeira Guerrero Luis,25,4,0,0,0
23,Costa Rica,Costa Rica,Alajuelense,35,Costa Rica,Solorzano Esteban,18,0,0,0,0
24,Costa Rica,Costa Rica,Alajuelense,34,Costa Rica,Azofeifa Nicolas,?,2,0,0,0
25,Costa Rica,Costa Rica,Alajuelense,34,Costa Rica,Espinoza Ricardo,18,0,0,0,0
26,Costa Rica,Costa Rica,Alajuelense,5,Honduras,Garrido Luis,29,7,0,2,0
27,Costa Rica,Costa Rica,Alajuelense,11,Costa Rica,Lassiter Ariel,25,19,11,2,0
28,Costa Rica,Costa Rica,Alajuelense,19,Costa Rica,McDonald Jonathan,32,18,7,3,1
29,Costa Rica,Costa Rica,Alajuelense,9,Costa Rica,Moya Jonathan,27,17,5,2,0
30,Costa Rica,Costa Rica,Alajuelense,37,Costa Rica,Ramirez Keylor,19,0,0,0,0
31,Costa Rica,Costa Rica,Alajuelense,22,Costa Rica,Sequeira Barlon,21,15,0,2,0
32,Costa Rica,Costa Rica,Alajuelense,12,Costa Rica,Urena Marcos,29,18,6,2,0
0,Costa Rica,Costa Rica,Saprissa,1,Costa Rica,Briceno Kevin,27,12,0,1,0
1,Costa Rica,Costa Rica,Saprissa,13,Costa Rica,Cruz Aaron,28,7,0,0,1
2,Costa Rica,Costa Rica,Saprissa,22,Costa Rica,Gomez Alejandro,30,3,0,1,0
3,Costa Rica,Costa Rica,Saprissa,35,Costa Rica,Rojas Daniel,19,0,0,0,0
4,Costa Rica,Costa Rica,Saprissa,5,Costa Rica,Aguero Jean Carlo,26,12,0,1,1
5,Costa Rica,Costa Rica,Saprissa,12,Costa Rica,Blanco Ricardo,30,14,0,2,0
6,Costa Rica,Costa Rica,Saprissa,52,Trinidad and Tobago,David Aubrey,29,10,0,2,0
7,Costa Rica,Costa Rica,Saprissa,17,Costa Rica,Guzman Juan,32,1,0,0,0
8,Costa Rica,Costa Rica,Saprissa,19,Costa Rica,Lopez Yael,20,3,0,0,0
9,Costa Rica,Costa Rica,Saprissa,14,Costa Rica,Medina Jaikel,?,5,0,1,0
10,Costa Rica,Costa Rica,Saprissa,31,Costa Rica,Miller Roy,34,7,0,1,0
11,Costa Rica,Costa Rica,Saprissa,38,Costa Rica,Mora Salazar Rutsell,19,2,0,0,0
12,Costa Rica,Costa Rica,Saprissa,32,Costa Rica,Robinson Alexander,30,10,2,3,0
13,Costa Rica,Costa Rica,Saprissa,3,Costa Rica,Salinas Yostin,21,6,0,3,0
14,Costa Rica,Costa Rica,Saprissa,23,Costa Rica,Smith Jordan,28,8,0,3,0
15,Costa Rica,Costa Rica,Saprissa,16,Costa Rica,Alfaro Jose,19,5,3,0,0
16,Costa Rica,Costa Rica,Saprissa,16,Costa Rica,Alfaro Rodolfo,19,4,0,0,0
17,Costa Rica,Costa Rica,Saprissa,10,Costa Rica,Angulo Borbon Marvin,33,17,4,0,0
18,Costa Rica,Costa Rica,Saprissa,11,Costa Rica,Barrantes Michael,36,17,0,7,0
19,Costa Rica,Costa Rica,Saprissa,2,Costa Rica,Bolanos Christian,35,14,5,1,0
20,Costa Rica,Costa Rica,Saprissa,25,Nicaragua,Bonilla Byron,26,8,0,2,0
21,Costa Rica,Costa Rica,Saprissa,36,Costa Rica,Brizuela Marco,18,0,0,0,0
22,Costa Rica,Costa Rica,Saprissa,8,Costa Rica,Centeno Walter,45,1,0,1,0
23,Costa Rica,Costa Rica,Saprissa,36,Costa Rica,Fonseca Greivin,19,0,0,0,0
24,Costa Rica,Costa Rica,Saprissa,33,Costa Rica,Hadden Jaylon,?,16,0,1,0
25,Costa Rica,Costa Rica,Saprissa,29,Costa Rica,Hernandez Paniagua Luis,21,14,1,1,0
26,Costa Rica,Costa Rica,Saprissa,8,Costa Rica,Leal Randall,22,16,4,3,0
27,Costa Rica,Costa Rica,Saprissa,15,Costa Rica,Martinez Jonathan,21,12,2,2,0
28,Costa Rica,Costa Rica,Saprissa,21,Costa Rica,Rodriguez Esteban,31,15,0,1,0
29,Costa Rica,Costa Rica,Saprissa,30,Costa Rica,Telleria Yostin,16,1,0,0,0
30,Costa Rica,Costa Rica,Saprissa,20,Argentina,Torres Mariano,32,5,2,1,1
31,Costa Rica,Costa Rica,Saprissa,30,Costa Rica,Ujueta Kane,17,0,0,0,0
32,Costa Rica,Costa Rica,Saprissa,24,Costa Rica,Zuniga Suhander,22,17,4,1,0
33,Costa Rica,Costa Rica,Saprissa,9,Costa Rica,Ramirez David,26,5,5,4,1
34,Costa Rica,Costa Rica,Saprissa,7,Costa Rica,Venegas Johan,30,13,9,7,0
0,Costa Rica,Costa Rica,Herediano,1,Costa Rica,Alvarado Esteban,30,19,0,1,0
1,Costa Rica,Costa Rica,Herediano,20,Costa Rica,Brenes Luis,34,1,0,0,0
2,Costa Rica,Costa Rica,Herediano,31,Costa Rica,Lezcano Veliz Alexander,?,0,0,0,0
3,Costa Rica,Costa Rica,Herediano,20,Costa Rica,Torres Brenes Luis,34,1,0,0,0
4,Costa Rica,Costa Rica,Herediano,20,Costa Rica,Umana Campos Carlos Daniel,17,0,0,0,0
5,Costa Rica,Costa Rica,Herediano,25,Costa Rica,Arguedas Chacon Juan Pablo,22,1,0,0,0
6,Costa Rica,Costa Rica,Herediano,99,Costa Rica,Brown Keyner,27,20,0,5,1
7,Costa Rica,Costa Rica,Herediano,37,Costa Rica,Fuller Spence Keysher,25,14,0,5,1
8,Costa Rica,Costa Rica,Herediano,4,Costa Rica,Galo Orlando,19,11,0,3,1
9,Costa Rica,Costa Rica,Herediano,34,Costa Rica,Soto Ariel,27,16,2,2,0
10,Costa Rica,Costa Rica,Herediano,26,Costa Rica,Alvarez Freddy,24,16,3,2,0
11,Costa Rica,Costa Rica,Herediano,17,Mexico,Arce Oscar,24,5,0,1,0
12,Costa Rica,Costa Rica,Herediano,12,Costa Rica,Azofeifa Randall,34,17,1,3,0
13,Costa Rica,Costa Rica,Herediano,8,Costa Rica,Bustos Golobio Juan,27,8,0,0,0
14,Costa Rica,Costa Rica,Herediano,3,Costa Rica,Espinoza Kevin,?,1,1,0,0
15,Costa Rica,Costa Rica,Herediano,11,Mexico,Gonzalez Hernandez Diego,23,5,1,1,0
16,Costa Rica,Costa Rica,Herediano,5,Costa Rica,Granados Esteban,34,16,0,4,0
17,Costa Rica,Costa Rica,Herediano,70,Costa Rica,Leiton Jose,26,2,0,0,0
18,Costa Rica,Costa Rica,Herediano,22,Costa Rica,Mora Jose,27,9,0,1,1
19,Costa Rica,Costa Rica,Herediano,29,Costa Rica,Rodriguez Nextaly,21,12,4,1,0
20,Costa Rica,Costa Rica,Herediano,2,Costa Rica,Salazar Arias Aaron,20,11,0,3,0
21,Costa Rica,Costa Rica,Herediano,10,Costa Rica,Tejeda Yeltsin,27,11,1,2,0
22,Costa Rica,Costa Rica,Herediano,28,Costa Rica,Torres Gerson,22,15,1,2,0
23,Costa Rica,Costa Rica,Herediano,27,Costa Rica,Villalobos Solis Alberth,?,11,1,1,0
24,Costa Rica,Costa Rica,Herediano,14,Costa Rica,Burke Montiel Berny,23,14,3,3,0
25,Costa Rica,Costa Rica,Herediano,15,Costa Rica,Hernandez Jordy,17,1,0,0,0
26,Costa Rica,Costa Rica,Herediano,17,Mexico,Magana Aldo,23,10,1,1,0
27,Costa Rica,Costa Rica,Herediano,9,Costa Rica,Rodriguez Francisco,26,18,7,3,0
28,Costa Rica,Costa Rica,Herediano,24,Mexico,Rubio Brian,23,14,9,3,0
29,Costa Rica,Costa Rica,Herediano,7,Costa Rica,Ruiz Yendrick,32,11,3,3,0
0,Costa Rica,Costa Rica,San Carlos,1,Costa Rica,Chamorro Kevin,19,0,0,0,0
1,Costa Rica,Costa Rica,San Carlos,31,Costa Rica,Madrigal Marco,34,13,0,1,0
2,Costa Rica,Costa Rica,San Carlos,18,Costa Rica,Pemberton Patrick,37,8,0,1,0
3,Costa Rica,Costa Rica,San Carlos,8,Costa Rica,Aguilar Alvaro,?,9,1,2,1
4,Costa Rica,Costa Rica,San Carlos,4,Costa Rica,Brenes Fernando,25,12,0,2,0
5,Costa Rica,Costa Rica,San Carlos,24,Costa Rica,Dawson Rudy,?,18,0,4,1
6,Costa Rica,Costa Rica,San Carlos,17,Costa Rica,Obando Marvin,37,12,0,4,0
7,Costa Rica,Costa Rica,San Carlos,23,Argentina,Perez Claudio,33,7,0,3,0
8,Costa Rica,Costa Rica,San Carlos,3,Costa Rica,Rivera Reggy,21,4,0,0,0
9,Costa Rica,Costa Rica,San Carlos,12,Costa Rica,Sanchez Jose,24,21,1,1,0
